"fips","mon_year","case_rate_100k","avg_temperature_air_2m_f","avg_humidity_relative_2m_pct","avg_wind_speed_10m_mph","avg_particulate_matter_2p5_ugpm3_x10","tot_precipitation_in"
1003,Dec 2014,0,54.9838709677419,82.5677419354839,3.50322580645161,123.09,3.54
1003,Dec 2015,0,61.6645161290323,83.858064516129,4.95483870967742,144.68,6.13
1003,Dec 2016,0,56.0677419354839,80.2838709677419,2.48387096774194,74.76,6.43
1003,Dec 2017,1.99974244311007,52.1451612903226,83.9258064516129,4.41935483870968,73.36,2.52
1003,Dec 2018,0,53.9870967741935,85.1935483870968,3.56451612903226,69.41,7.42
1003,Dec 2019,0,55.0129032258065,81.258064516129,3.25483870967742,74.92,2.56
1003,Dec 2020,NA,50.4774193548387,79.1645161290323,5.36129032258065,114.99,4.06
1003,Dec 2021,NA,61.6870967741935,89.4645161290323,4.99032258064516,77.46,3.74
1003,Feb 2010,0,44.7607142857143,72.5321428571429,5.21071428571429,125.86,4.46
1003,Feb 2011,0,53.1285714285714,78.5535714285714,4.69285714285714,109.5,1.76
1003,Feb 2012,0,56.7931034482759,80.3344827586207,4.27586206896552,77.78,4.8
1003,Feb 2013,0,55.0142857142857,78.2928571428571,4.125,80.68,7.82
1003,Feb 2014,0,53.1071428571429,81.6821428571429,4.48928571428571,86.17,3.09
1003,Feb 2015,0,47.7357142857143,73.0892857142857,5.19642857142857,127.11,1.63
1003,Feb 2016,0,54.4137931034483,70.751724137931,5.83448275862069,58.9,2.49
1003,Feb 2017,0,59.9785714285714,79.225,3.41071428571429,82.95,2.05
1003,Feb 2018,0,63.825,85.2714285714286,5.13214285714286,83.01,4.95
1003,Feb 2019,0,61.4964285714286,82.9178571428571,3.73928571428571,80.33,2.1
1003,Feb 2020,NA,56.251724137931,80.2793103448276,4.30689655172414,76.63,4.01
1003,Feb 2021,NA,50.6571428571429,81.4714285714286,6.71071428571429,83.96,3.92
1003,Jan 2010,0,44.0677419354839,72.7322580645161,5.32258064516129,88.34,6.31
1003,Jan 2011,0,46.5709677419355,73.6290322580645,4.31612903225806,82.81,2.69
1003,Jan 2012,0,55.3903225806452,75.8548387096774,4.30967741935484,60.63,1.73
1003,Jan 2013,0,55.6225806451613,85.0645161290323,4.69354838709677,106.25,1.66
1003,Jan 2014,0,44.3225806451613,67.3612903225806,4.66774193548387,97.58,2.11
1003,Jan 2015,0,48.958064516129,74.8322580645161,4.50645161290323,153.59,3.29
1003,Jan 2016,0,48.7096774193548,76.241935483871,5.34516129032258,61.31,2.98
1003,Jan 2017,0,57.4129032258065,79.9451612903226,4.01935483870968,77.4,8.1
1003,Jan 2018,0,45.5741935483871,68.3935483870968,5.40322580645161,82.71,2.63
1003,Jan 2019,0,50.4612903225806,78.2838709677419,3.32258064516129,79.76,2.25
1003,Jan 2020,NA,54.3322580645161,79,3.53870967741935,72.61,2.95
1003,Jan 2021,NA,50.8677419354839,77.2612903225806,5.93870967741935,69.77,2.52
1003,Jul 2010,0,81.8322580645161,79.2387096774194,4.08387096774194,247.61,5.18
1003,Jul 2011,0,81.2290322580645,79.2451612903226,3.16774193548387,195.24,8.67
1003,Jul 2012,0,79.5451612903226,80.6322580645161,3.07741935483871,235.93,6.43
1003,Jul 2013,2.85830092069124,78.3967741935484,85.1354838709677,3.43548387096774,207.82,7.66
1003,Jul 2014,0,79.1838709677419,78.4677419354839,3.13548387096774,218.19,4.5
1003,Jul 2015,0,82.3903225806452,79.1870967741935,4.81290322580645,215.1,3.83
1003,Jul 2016,0,81.0645161290323,84.3322580645161,3.98064516129032,150.22,4.47
1003,Jul 2017,0,80.2677419354839,83.5645161290323,3.13870967741935,184.28,4.87
1003,Jul 2018,0,79.9677419354839,85.8193548387097,2.83225806451613,260.98,7.58
1003,Jul 2019,0,80.7451612903226,78.3258064516129,2.08064516129032,246.86,6.19
1003,Jul 2020,NA,79.0709677419355,85.9451612903226,2.3741935483871,263.65,8.96
