"fips","month_year","case_rate_100k","temperature","precipitation","pm2p5","wind_speed","humidity","lag_temperature","lag_precipitation","lag_pm2p5","lag_humidity","lag_wind_speed"
13039,"01/2010",0,43.9161290322581,4.58,141.17,4.89677419354839,72.0677419354839,NA,NA,NA,NA,NA
13051,"01/2010",0,45.4161290322581,4.71,112.33,7.43548387096774,73.4935483870968,NA,NA,NA,NA,NA
13069,"01/2010",0,45.6451612903226,4.33,89.73,6.19677419354839,63.8903225806452,NA,NA,NA,NA,NA
13071,"01/2010",0,46.3903225806452,2.25,113.61,6.42903225806452,68.5,NA,NA,NA,NA,NA
13103,"01/2010",0,42.9548387096774,4.34,123.15,6.17741935483871,71.041935483871,NA,NA,NA,NA,NA
13109,"01/2010",0,43.8612903225806,5.98,157.89,6.93870967741935,64.2612903225806,NA,NA,NA,NA,NA
13127,"01/2010",0,46.1516129032258,4.57,127.15,5.48387096774194,71.0129032258065,NA,NA,NA,NA,NA
13131,"01/2010",0,46.9354838709677,2.98,178.42,5.23870967741936,68.8,NA,NA,NA,NA,NA
13161,"01/2010",0,44.6903225806452,4.72,90.09,5.3258064516129,65.7290322580645,NA,NA,NA,NA,NA
13173,"01/2010",0,46.5677419354839,4.44,162.83,6.04193548387097,69.9225806451613,NA,NA,NA,NA,NA
13185,"01/2010",0,46.0483870967742,3.97,119.09,6.22258064516129,67.3612903225806,NA,NA,NA,NA,NA
13201,"01/2010",0,44.7129032258064,3.59,144.87,5.96129032258064,72.7645161290323,NA,NA,NA,NA,NA
13229,"01/2010",0,46.0483870967742,4.88,147.08,6.42258064516129,69.5161290322581,NA,NA,NA,NA,NA
13275,"01/2010",0,47.2032258064516,2.55,172.47,4.58387096774194,68.6516129032258,NA,NA,NA,NA,NA
13277,"01/2010",0,45.4129032258065,3.73,92.2,9.15483870967742,67.4645161290323,NA,NA,NA,NA,NA
13299,"01/2010",0,47.0516129032258,2.77,217.89,5.28064516129032,73.0645161290323,NA,NA,NA,NA,NA
13305,"01/2010",0,45.1967741935484,6.41,139.11,6.8258064516129,72.5322580645161,NA,NA,NA,NA,NA
22001,"01/2010",0,47.041935483871,1.71,98.73,6.77741935483871,77.9064516129032,NA,NA,NA,NA,NA
22005,"01/2010",0,46.7870967741936,1.57,112.1,8.03870967741936,77.1967741935484,NA,NA,NA,NA,NA
22007,"01/2010",0,46.8161290322581,1.41,106.38,9.31935483870968,78.1290322580645,NA,NA,NA,NA,NA
22009,"01/2010",0,46.2870967741936,2.46,94.94,7.09354838709677,69.5516129032258,NA,NA,NA,NA,NA
22011,"01/2010",0,45.5677419354839,1.8,90.08,4.76451612903226,79.6258064516129,NA,NA,NA,NA,NA
22019,"01/2010",0,47.0032258064516,2.34,80.21,5.63870967741935,75.9548387096774,NA,NA,NA,NA,NA
22033,"01/2010",0,45.6096774193548,2.47,96.7,6.20967741935484,69.3903225806452,NA,NA,NA,NA,NA
